date,asset_name,price,volume,category
2016-04-25,Gold ETF,118.2300033569336,4369400,Commodity
2016-04-26,Gold ETF,118.69999694824219,9906800,Commodity
2016-04-27,Gold ETF,119.04000091552734,7976400,Commodity
2016-04-28,Gold ETF,121.29000091552734,15133600,Commodity
2016-04-29,Gold ETF,123.6500015258789,19043900,Commodity
2016-05-02,Gold ETF,123.23999786376953,12137500,Commodity
2016-05-03,Gold ETF,122.95999908447266,9063600,Commodity
2016-05-04,Gold ETF,122.20999908447266,9398200,Commodity
2016-05-05,Gold ETF,122.06999969482422,8846900,Commodity
2016-05-06,Gold ETF,123.18000030517578,11366800,Commodity
2016-05-09,Gold ETF,120.6500015258789,9236200,Commodity
2016-05-10,Gold ETF,120.9800033569336,9845000,Commodity
2016-05-11,Gold ETF,122.12000274658203,7590100,Commodity
2016-05-12,Gold ETF,121.16000366210938,7447100,Commodity
2016-05-13,Gold ETF,121.70999908447266,7672800,Commodity
2016-05-16,Gold ETF,121.80000305175781,7103000,Commodity
2016-05-17,Gold ETF,122.22000122070312,8619800,Commodity
2016-05-18,Gold ETF,120.0999984741211,13381700,Commodity
2016-05-19,Gold ETF,119.87000274658203,14339700,Commodity
2016-05-20,Gold ETF,119.70999908447266,10379400,Commodity
2016-05-23,Gold ETF,119.37000274658203,8628200,Commodity
2016-05-24,Gold ETF,117.30000305175781,12772000,Commodity
2016-05-25,Gold ETF,116.9800033569336,10487300,Commodity
2016-05-26,Gold ETF,116.58000183105469,5893500,Commodity
2016-05-27,Gold ETF,115.62000274658203,8686700,Commodity
2016-05-31,Gold ETF,116.05999755859375,8187600,Commodity
2016-06-01,Gold ETF,115.94000244140625,8399600,Commodity
2016-06-02,Gold ETF,115.66999816894531,4591600,Commodity
2016-06-03,Gold ETF,118.87999725341797,14605100,Commodity
2016-06-06,Gold ETF,118.91999816894531,9887900,Commodity
2016-06-07,Gold ETF,118.81999969482422,4602900,Commodity
2016-06-08,Gold ETF,120.58000183105469,11661700,Commodity
2016-06-09,Gold ETF,121.25,12174000,Commodity
2016-06-10,Gold ETF,121.73999786376953,13940000,Commodity
